Time,avg_rain,GB_out,GZ_in,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,E0,Predicted,Observed
2016-08-16 23:00:00,4.6,43.0,130.726,6.5,3.0,6.5,10.0,5.0,1.0,0.0,0.16,236.7644683290571,130.726
2016-08-17 00:00:00,9.4,59.3,120.305,10.5,10.5,9.5,20.0,5.5,5.5,4.0,0.16,262.9851243027747,120.305
2016-08-17 01:00:00,13.0,93.8,109.292,16.5,19.5,11.5,25.5,10.0,4.5,3.5,0.16,313.98365500667694,109.292
2016-08-17 02:00:00,8.6,54.7,339.024,15.5,11.5,0.0,10.0,7.5,9.5,6.5,0.16,464.86209060063965,339.024
2016-08-17 03:00:00,3.5,65.2,472.48,3.0,3.0,0.0,8.5,5.0,2.5,2.5,0.16,396.9936666253507,472.48
2016-08-17 04:00:00,2.4,25.3,209.962,2.0,1.5,0.0,3.0,4.0,5.0,1.0,0.16,660.1035645916761,209.962
2016-08-17 05:00:00,2.6,46.2,407.115,2.0,3.5,0.0,6.0,1.0,4.0,1.5,0.16,356.91978654372696,407.115
2016-08-17 06:00:00,8.4,30.7,245.584,9.0,4.5,22.0,13.5,2.0,3.5,4.0,0.16,586.612641345516,245.584
2016-08-17 07:00:00,11.4,60.9,291.275,5.5,3.5,4.0,6.0,3.0,15.0,42.5,0.16,380.54508807304506,291.275
2016-08-17 08:00:00,25.3,59.5,419.296,17.0,13.5,48.0,21.5,16.0,31.5,29.5,0.16,764.0361566878856,419.296
2016-08-17 09:00:00,13.2,94.2,373.807,19.0,10.0,14.0,14.5,19.0,9.0,7.0,0.16,770.2764340503217,373.807
2016-08-17 10:00:00,10.9,61.8,707.728,13.0,10.0,10.5,13.5,9.0,10.0,10.5,0.16,940.7281990297736,707.728
2016-08-17 11:00:00,10.2,19.2,608.209,6.5,7.5,9.5,15.0,7.5,11.0,14.5,0.16,728.2915499178768,608.2089999999998
2016-08-17 12:00:00,12.4,12.5,603.961,15.0,13.0,13.5,18.0,13.0,0.0,14.5,0.16,721.8844485161305,603.961
2016-08-17 13:00:00,7.6,8.32,778.786,13.5,9.5,9.0,0.0,11.5,0.0,9.5,0.16,927.458573034525,778.786
2016-08-17 14:00:00,12.1,8.36,623.964,17.5,15.0,12.5,13.5,15.0,0.0,11.5,0.16,936.9609647018613,623.964
2016-08-17 15:00:00,12.4,12.7,668.258,20.5,17.0,11.0,15.0,14.5,0.0,8.5,0.16,913.319931801498,668.258
2016-08-17 16:00:00,5.5,23.7,1062.792,5.0,4.5,7.5,10.0,5.5,0.0,6.0,0.16,967.422548037529,1062.792
2016-08-17 17:00:00,15.4,0.239,907.189,13.5,15.0,23.5,28.0,9.5,0.0,18.0,0.16,1275.7651431947947,907.189
2016-08-17 18:00:00,15.0,0.239,1030.875,20.0,21.0,16.5,22.5,12.0,0.0,13.0,0.16,1305.8256480750442,1030.875
2016-08-17 19:00:00,17.4,19.4,1213.708,15.0,11.5,26.5,26.0,11.5,0.0,31.0,0.16,1469.4197508847712,1213.708
2016-08-17 20:00:00,13.4,0.239,1421.746,10.5,10.5,21.5,30.5,6.0,0.0,14.5,0.16,1857.698876795888,1421.746
2016-08-17 21:00:00,3.6,0.239,1814.969,1.5,2.5,10.0,6.5,2.0,0.0,3.0,0.16,1931.4558389782906,1814.969
2016-08-17 22:00:00,5.6,0.239,2189.406,6.5,7.0,4.5,6.5,8.0,0.0,7.0,0.16,2048.7376435059905,2189.406
2016-08-17 23:00:00,5.1,0.239,2190.001,5.0,6.0,5.0,5.0,7.5,0.0,7.0,0.16,2226.9920970175863,2190.001
2016-08-18 00:00:00,18.4,0.239,1637.583,12.5,21.0,23.0,21.0,8.5,0.0,43.0,0.16,2024.664355433047,1637.583
2016-08-18 01:00:00,26.2,0.239,1819.379,33.0,23.5,52.0,51.5,14.0,0.0,9.5,0.16,1884.3837154747844,1819.3789999999997
2016-08-18 02:00:00,2.4,0.239,2078.375,2.5,2.5,3.0,3.0,5.0,0.0,1.0,0.16,2505.171504345417,2078.375
2016-08-18 03:00:00,2.3,0.239,1953.376,1.5,3.5,3.5,2.0,1.0,0.0,4.5,0.16,2375.1364203239086,1953.376
2016-08-18 04:00:00,12.4,1.0,1634.256,10.5,14.0,15.0,19.0,11.0,0.0,17.0,0.16,1973.6121950551271,1634.256
2016-08-18 05:00:00,21.8,7.95,1779.811,14.5,15.0,38.5,23.5,11.0,0.0,50.0,0.16,1997.208536560476,1779.811
2016-08-18 06:00:00,8.5,7.87,1829.991,9.5,8.0,11.0,14.5,7.5,0.0,9.0,0.16,2367.981077710271,1829.991
2016-08-18 07:00:00,11.6,7.91,2101.885,10.5,11.0,18.5,17.0,9.5,0.0,15.0,0.16,2204.4115730443596,2101.885
2016-08-18 08:00:00,13.4,5.93,2073.892,8.5,11.0,23.0,26.0,9.5,0.0,15.5,0.16,2318.955546960354,2073.892
2016-08-18 09:00:00,15.6,0.239,2025.353,14.5,14.5,21.0,26.0,11.0,0.0,22.5,0.16,2443.099804575324,2025.353
2016-08-18 10:00:00,23.9,0.239,2401.86,23.5,24.0,35.0,39.5,10.5,0.0,34.5,0.16,2483.3011802686456,2401.86
2016-08-18 11:00:00,29.2,0.239,3060.311,22.0,21.5,49.5,46.5,16.0,0.0,49.0,0.16,3068.8514130605463,3060.3109999999997
2016-08-18 12:00:00,23.0,0.253,3724.051,23.0,23.5,27.0,31.0,14.0,0.0,42.5,0.16,4315.849737413526,3724.051
2016-08-18 13:00:00,21.1,0.31,4823.558,34.5,29.5,23.5,27.5,5.0,0.0,27.5,0.16,4732.386696095587,4823.558
2016-08-18 14:00:00,4.9,0.267,4347.866,8.5,0.0,5.5,7.5,9.0,0.0,3.5,0.16,5192.668021255256,4347.866
2016-08-18 15:00:00,4.9,0.267,3659.457,5.5,6.5,4.5,5.5,7.5,0.0,5.0,0.16,4322.377970372319,3659.457
2016-08-18 16:00:00,18.6,0.366,2745.43,34.5,27.0,16.0,14.5,22.0,0.0,16.5,0.16,3269.34115845716,2745.43
2016-08-18 17:00:00,10.4,0.409,2007.672,14.0,9.5,12.5,17.0,6.0,0.0,14.0,0.16,3057.414420285821,2007.672
2016-08-18 18:00:00,8.7,65.3,2035.555,8.0,11.0,11.5,12.5,7.5,0.0,10.5,0.16,2372.7519735108613,2035.555
2016-08-18 19:00:00,6.9,361.3,2241.57,8.0,7.0,8.0,13.0,7.0,0.0,5.5,0.16,2783.280692553401,2241.57
2016-08-18 20:00:00,4.5,369.7,2112.414,3.5,4.5,6.5,6.0,3.0,0.0,8.0,0.16,3972.3910037595037,2112.414
2016-08-18 21:00:00,9.0,368.9,2167.069,6.0,6.5,14.5,16.5,7.5,0.0,12.0,0.16,2778.492063207269,2167.069
2016-08-18 22:00:00,8.0,368.3,2002.388,4.5,6.0,14.5,17.0,4.5,0.0,9.5,0.16,2655.8889079048636,2002.388
2016-08-18 23:00:00,7.8,368.2,2095.83,4.0,7.5,13.0,15.0,4.5,0.0,10.5,0.16,2471.3287488285305,2095.83
2016-08-19 00:00:00,7.5,365.4,2138.905,6.0,8.5,12.0,11.0,7.5,0.0,7.5,0.16,2487.5558010740283,2138.905
2016-08-19 01:00:00,3.4,364.9,1950.376,3.5,4.0,3.5,4.5,3.0,0.0,5.0,0.16,2454.3674705926182,1950.376
2016-08-19 02:00:00,1.3,341.3,1818.809,1.5,2.0,0.5,0.5,3.0,0.0,1.5,0.16,2277.180033075273,1818.809
2016-08-19 03:00:00,3.6,286.4,1791.732,4.0,6.0,4.0,3.0,4.5,0.0,4.0,0.16,2031.5213740466834,1791.732
2016-08-19 04:00:00,4.6,228.4,1299.896,5.0,6.0,6.0,7.0,3.5,0.0,4.5,0.16,1750.1749557025432,1299.896
2016-08-19 05:00:00,3.4,173.1,1408.717,2.0,3.5,5.5,3.5,3.0,0.0,6.5,0.16,1330.8795726139545,1408.717
2016-08-19 06:00:00,2.1,172.4,1217.499,1.0,3.5,0.5,0.5,3.5,0.0,5.5,0.16,1321.9621734308005,1217.499
2016-08-19 07:00:00,2.6,240.4,626.299,2.5,3.0,5.0,2.5,3.5,0.0,1.5,0.16,1341.3309234864712,626.299
2016-08-19 08:00:00,0.7,368.8,1150.746,0.0,1.5,0.0,2.5,0.5,0.0,0.5,0.16,1234.0263835129738,1150.746
2016-08-19 09:00:00,0.1,367.0,852.439,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.16,1916.0246510952115,852.439
2016-08-19 10:00:00,0.8,367.0,886.877,0.0,0.5,0.0,0.0,0.5,0.0,4.5,0.16,1381.1121285604238,886.877
2016-08-19 11:00:00,3.5,367.1,1077.751,5.0,1.0,3.5,8.5,0.5,0.0,6.0,0.16,1298.1803447595835,1077.751
2016-08-19 12:00:00,0.4,367.2,1046.198,0.5,0.0,0.5,1.5,0.0,0.0,0.0,0.16,1357.6547951701284,1046.198
2016-08-19 13:00:00,0.0,367.3,967.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1377.7277385987638,967.221
2016-08-19 14:00:00,0.0,367.3,1023.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1267.2621941324471,1023.689
2016-08-19 15:00:00,0.0,367.4,942.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1294.7780782399177,942.029
2016-08-19 16:00:00,0.0,367.4,964.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1248.984057127595,964.9119999999999
2016-08-19 17:00:00,0.0,367.4,921.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1250.9247362647056,921.1380000000001
2016-08-19 18:00:00,0.0,367.5,864.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1218.2925812559724,864.587
2016-08-19 19:00:00,0.0,367.5,842.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1181.840849357486,842.389
2016-08-19 20:00:00,0.0,367.5,823.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1158.5404006402493,823.547
2016-08-19 21:00:00,0.0,367.6,725.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1141.1058226545751,725.4549999999999
2016-08-19 22:00:00,0.0,367.6,693.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1074.8411404511035,693.252
2016-08-19 23:00:00,0.0,367.6,676.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1043.051257349372,676.847
2016-08-20 00:00:00,0.0,367.6,625.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1022.2857760635914,625.587
2016-08-20 01:00:00,0.0,367.6,608.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,982.8863427624108,608.693
2016-08-20 02:00:00,0.0,367.7,589.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,961.4675805408657,589.492
2016-08-20 03:00:00,0.0,367.7,588.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,943.1989538648726,588.147
2016-08-20 04:00:00,0.0,367.7,590.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,936.4145855829717,590.105
2016-08-20 05:00:00,0.0,367.7,590.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,932.8759566788376,590.316
2016-08-20 06:00:00,0.0,367.7,569.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,931.3769715369344,569.703
2016-08-20 07:00:00,0.0,367.7,549.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,918.1764920680524,549.016
2016-08-20 08:00:00,0.0,367.7,526.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,904.104423137039,526.712
2016-08-20 09:00:00,0.0,367.8,463.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,887.6835174965263,463.607
2016-08-20 10:00:00,0.0,367.8,483.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,846.1702884705068,483.6
2016-08-20 11:00:00,0.0,367.8,485.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,848.9584594695569,485.149
2016-08-20 12:00:00,0.0,367.8,481.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,845.0127455865146,481.807
2016-08-20 13:00:00,0.0,367.8,481.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,840.6188306411506,481.89
2016-08-20 14:00:00,0.0,367.8,461.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,838.2682062758506,461.997
2016-08-20 15:00:00,0.0,368.3,461.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,827.2437329536677,461.386
2016-08-20 16:00:00,0.0,368.8,461.823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,827.08477459988,461.823
2016-08-20 17:00:00,0.0,368.5,461.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,826.7148728616238,461.755
2016-08-20 18:00:00,0.0,368.6,461.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,823.3349162863494,461.849
2016-08-20 19:00:00,0.0,368.5,461.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,822.9982649459839,461.212
2016-08-20 20:00:00,0.0,368.3,462.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,821.9303193707169,462.56
2016-08-20 21:00:00,0.0,368.3,442.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,822.0831996947826,442.066
2016-08-20 22:00:00,0.0,368.3,421.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,810.4115234665574,421.185
2016-08-20 23:00:00,0.0,368.6,462.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,796.3822867685259,462.162
2016-08-21 00:00:00,0.0,368.6,421.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,818.6993817829789,421.529
2016-08-21 01:00:00,0.0,368.6,443.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,795.2316084828079,443.37
2016-08-21 02:00:00,0.0,368.6,416.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,805.4754482699932,416.108
2016-08-21 03:00:00,0.0,368.7,442.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,788.9936193197966,442.799
2016-08-21 04:00:00,0.0,368.7,420.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,804.5546625202298,420.98300000000006
2016-08-21 05:00:00,0.0,368.7,444.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,790.7662588116527,444.373
2016-08-21 06:00:00,0.0,368.7,401.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,804.4567704885901,401.999
2016-08-21 07:00:00,0.0,368.7,443.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,779.6177936831416,443.007
2016-08-21 08:00:00,0.0,368.7,385.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,802.2080425039233,385.668
